user_pseudo_id,event_time,platform,action,action_group,source,medium,staytime,has_shared,revisit_count
user_044,2024-09-01 10:00:00,iOS,檢視試算結果,挑選預約顧問,Direct,Organic,58,0,4
user_049,2024-09-01 10:02:00,iOS,點擊優惠,好康優惠,Direct,Referral,5,0,1
user_038,2024-09-01 10:04:00,Web,立即投保,試算壽險方案,Direct,Referral,63,0,1
user_007,2024-09-01 10:06:00,iOS,保存試算結果,挑選預約顧問,Facebook,Organic,59,0,4
user_022,2024-09-01 10:08:00,iOS,檢視試算結果,完成網路投保,Facebook,Referral,10,0,5
user_046,2024-09-01 10:10:00,Android,進入試算,保存與分享試算結果,Google,Referral,25,0,3
user_042,2024-09-01 10:12:00,Android,檢視試算結果,完成網路投保,Facebook,CPC,107,0,0
user_049,2024-09-01 10:14:00,Android,立即投保,完成網路投保,Email,Referral,21,1,3
user_014,2024-09-01 10:16:00,Web,進入試算,完成網路投保,Direct,CPC,81,1,0
user_033,2024-09-01 10:18:00,Android,保存試算結果,挑選預約顧問,Google,Referral,105,0,4
user_009,2024-09-01 10:20:00,Web,點擊優惠,立即投保,Direct,Organic,15,0,5
user_045,2024-09-01 10:22:00,Android,完成投保,好康優惠,Email,Organic,32,0,1
user_046,2024-09-01 10:24:00,iOS,點擊優惠,完成網路投保,Google,Referral,109,0,5
user_038,2024-09-01 10:26:00,iOS,預約顧問,我的保險試算結果,Google,Referral,66,0,3
user_024,2024-09-01 10:28:00,Web,瀏覽商品頁,挑選預約顧問,Facebook,Organic,66,1,4
user_011,2024-09-01 10:30:00,Android,預約顧問,試算壽險方案,Direct,CPC,43,1,4
user_015,2024-09-01 10:32:00,iOS,進入首頁,我的保險試算結果,Facebook,CPC,38,0,4
user_045,2024-09-01 10:34:00,Android,瀏覽商品頁,我的保險試算結果,Google,Referral,103,0,2
user_009,2024-09-01 10:36:00,Web,立即投保,好康優惠,Google,Referral,37,0,5
user_041,2024-09-01 10:38:00,Android,檢視試算結果,我的保險試算結果,Direct,Organic,32,1,3
user_049,2024-09-01 10:40:00,iOS,檢視試算結果,好康優惠,Direct,Organic,118,1,1
user_002,2024-09-01 10:42:00,iOS,完成投保,好康優惠,Google,Referral,95,0,4
user_021,2024-09-01 10:44:00,Web,進入首頁,好康優惠,Direct,Organic,36,1,3
user_006,2024-09-01 10:46:00,Android,點擊優惠,其他,Email,Referral,85,0,4
user_017,2024-09-01 10:48:00,iOS,保存試算結果,挑選預約顧問,Email,Organic,71,1,4
user_014,2024-09-01 10:50:00,Web,完成投保,好康優惠,Direct,CPC,32,1,2
user_021,2024-09-01 10:52:00,Android,進入試算,我的保險試算結果,Facebook,Organic,8,0,5
user_050,2024-09-01 10:54:00,iOS,進入首頁,保存與分享試算結果,Google,CPC,60,0,1
