user_pseudo_id,event_time,platform,action,action_group,source,medium,staytime,has_shared,revisit_count
user_014,2024-09-01 10:00:00,Android,進入試算,我的保險試算結果,Facebook,CPC,104,0,5
user_020,2024-09-01 10:03:00,iOS,點擊優惠,保存與分享試算結果,Facebook,Referral,73,1,3
user_013,2024-09-01 10:06:00,Web,點擊優惠,完成網路投保,Google,Referral,31,0,3
user_018,2024-09-01 10:09:00,Android,預約顧問,立即投保,Direct,Organic,55,1,0
user_012,2024-09-01 10:12:00,Web,立即投保,試算壽險方案,Google,CPC,40,0,5
user_012,2024-09-01 10:15:00,iOS,進入首頁,挑選預約顧問,Email,Referral,14,0,2
user_015,2024-09-01 10:18:00,Web,立即投保,挑選預約顧問,Direct,CPC,120,1,5
user_018,2024-09-01 10:21:00,Android,檢視試算結果,完成網路投保,Direct,Referral,80,0,1
user_012,2024-09-01 10:24:00,Web,瀏覽商品頁,商品資訊頁,Direct,Referral,70,1,5
user_011,2024-09-01 10:27:00,iOS,完成投保,好康優惠,Facebook,Referral,41,1,3
user_011,2024-09-01 10:30:00,iOS,保存試算結果,我的保險試算結果,Email,Organic,101,0,1
user_017,2024-09-01 10:33:00,iOS,進入首頁,挑選預約顧問,Google,Organic,23,1,1
user_018,2024-09-01 10:36:00,iOS,保存試算結果,保存與分享試算結果,Google,Referral,15,1,3
user_016,2024-09-01 10:39:00,Android,保存試算結果,好康優惠,Email,Organic,79,1,1
user_014,2024-09-01 10:42:00,Web,進入試算,挑選預約顧問,Direct,Organic,81,1,4
user_018,2024-09-01 10:45:00,Android,檢視試算結果,試算壽險方案,Direct,Organic,21,1,4
user_017,2024-09-01 10:48:00,iOS,點擊優惠,保存與分享試算結果,Facebook,CPC,10,1,1
user_018,2024-09-01 10:51:00,Web,檢視試算結果,我的保險試算結果,Direct,CPC,75,0,3
user_013,2024-09-01 10:54:00,Android,保存試算結果,好康優惠,Direct,Organic,99,0,2
user_014,2024-09-01 10:57:00,iOS,檢視試算結果,我的保險試算結果,Email,Referral,67,0,5
user_012,2024-09-01 11:00:00,iOS,檢視試算結果,保存與分享試算結果,Google,Organic,95,1,4
user_018,2024-09-01 11:03:00,iOS,完成投保,挑選預約顧問,Facebook,CPC,34,1,0
user_020,2024-09-01 11:06:00,Web,點擊優惠,挑選預約顧問,Facebook,CPC,56,1,4
user_015,2024-09-01 11:09:00,Web,預約顧問,立即投保,Email,CPC,82,1,3
user_011,2024-09-01 11:12:00,iOS,進入試算,好康優惠,Google,Referral,30,1,0
user_014,2024-09-01 11:15:00,iOS,完成投保,我的保險試算結果,Email,Referral,32,1,2
user_014,2024-09-01 11:18:00,Android,預約顧問,立即投保,Direct,Referral,51,0,2
user_014,2024-09-01 11:21:00,Web,瀏覽商品頁,試算壽險方案,Google,Organic,13,1,5
user_019,2024-09-01 11:24:00,Web,立即投保,保存與分享試算結果,Email,Organic,119,1,1
user_019,2024-09-01 11:27:00,Android,檢視試算結果,商品資訊頁,Email,Referral,50,1,2
user_014,2024-09-01 11:30:00,Web,瀏覽商品頁,完成網路投保,Google,CPC,38,1,0
user_018,2024-09-01 11:33:00,Web,檢視試算結果,商品資訊頁,Email,Referral,101,0,0
user_017,2024-09-01 11:36:00,Android,點擊優惠,試算壽險方案,Facebook,Referral,32,1,1
user_015,2024-09-01 11:39:00,Android,立即投保,保存與分享試算結果,Direct,CPC,59,0,2
user_012,2024-09-01 11:42:00,iOS,進入首頁,我的保險試算結果,Facebook,Referral,75,1,2
user_015,2024-09-01 11:45:00,iOS,立即投保,其他,Direct,CPC,41,1,4
user_015,2024-09-01 11:48:00,Web,瀏覽商品頁,立即投保,Facebook,Organic,101,0,0
user_015,2024-09-01 11:51:00,Android,進入首頁,立即投保,Email,Organic,75,1,5
user_015,2024-09-01 11:54:00,Android,檢視試算結果,我的保險試算結果,Google,Referral,42,0,4
user_011,2024-09-01 11:57:00,Android,瀏覽商品頁,挑選預約顧問,Facebook,Organic,106,0,3
